snapshot id,description,started,size,volume,volume exists,instance,instance exists,ami,ami exists
snap-0ed00535da79714fc,Snapshot of volume (vol-0c9f0b9778ca1a7df),2018-12-02 22:25:13+00:00,8,vol-0c9f0b9778ca1a7df,True,,,,
snap-0c259b8f1381599b7,Encrypted copy of snapshot (snap-0a84eacfaf1ac27ae),2018-12-02 22:23:18+00:00,8,vol-ffffffff,False,,,,
snap-0264b0111f8aba093,\testsnap1enc,2018-12-02 22:15:38+00:00,8,vol-ffffffff,False,,,,
snap-0d2ddc7122ebea456,Created by CreateImage(i-070c2859684bcbd7f) for ami-0af73f7dbdc485bbb from vol-0079992127f4e4a2f,2018-12-04 18:48:11+00:00,8,vol-0079992127f4e4a2f,True,i-070c2859684bcbd7f,True,ami-0af73f7dbdc485bbb,True
snap-0644f92999d9bcead,Created by CreateImage(i-070c2859684bcbd7f) for ami-09f721cbd1c9e59c3 from vol-0079992127f4e4a2f,2018-12-04 18:02:11+00:00,8,vol-0079992127f4e4a2f,True,i-070c2859684bcbd7f,True,ami-09f721cbd1c9e59c3,True
snap-077023bd1af5b5a33,Snapshot of volume (vol-05cc7328121a967ca),2018-12-03 21:17:02+00:00,8,vol-05cc7328121a967ca,True,,,,
snap-029406056c2b69dd0,Encrypted copy of snapshot #snap-077023bd1af5b5a33,2018-12-03 21:17:17+00:00,8,vol-ffffffff,False,,,,
snap-0b06ad02c62d3f607,Snapshot of volume (vol-0079992127f4e4a2f),2018-12-03 21:14:29+00:00,8,vol-0079992127f4e4a2f,True,,,,
snap-08c17602f4f38f925,Encrypted copy of snapshot #snap-0b06ad02c62d3f607,2018-12-03 21:15:00+00:00,8,vol-ffffffff,False,,,,
snap-037c0c13f45f6c52c,Encrypted copy of snapshot #snap-0ee5bb826559a5a65,2018-12-03 21:07:52+00:00,8,vol-ffffffff,False,,,,
snap-089485294cbf7dbcc,Snapshot of volume (vol-0079992127f4e4a2f),2018-12-03 19:26:23+00:00,8,vol-0079992127f4e4a2f,True,,,,
snap-0851f75f0bf647251,Encrypted copy of snapshot #snap-08b77188587795c8e,2018-12-03 19:42:50+00:00,8,vol-ffffffff,False,,,,
snap-06191c175ff0d6f89,Snapshot of volume (vol-0079992127f4e4a2f),2018-12-03 19:24:31+00:00,8,vol-0079992127f4e4a2f,True,,,,
snap-0e939a83adb8eb1cb,Encrypted copy of snapshot #snap-0edfc27bd3dc4f0d3,2018-12-03 19:35:02+00:00,8,vol-ffffffff,False,,,,
snap-08279656eeebce432,Snapshot of volume (vol-0079992127f4e4a2f),2018-12-03 19:13:46+00:00,8,vol-0079992127f4e4a2f,True,,,,
snap-0138f3abbac00e94d,Encrypted copy of snapshot #snap-0f4eccf661d5da225,2018-12-03 19:07:43+00:00,8,vol-ffffffff,False,,,,
snap-0dda7773dc65166ac,Encrypted copy of snapshot #snap-009465a54316000d3,2018-12-03 18:57:37+00:00,8,vol-ffffffff,False,,,,
snap-037e9a7fce9a2669e,Encrypted copy of snapshot #snap-0999c93ee1433faa3,2018-12-03 18:35:55+00:00,8,vol-ffffffff,False,,,,
snap-09474ecabda355301,Encrypted copy of snapshot #snap-010b6741a6cdb2490,2018-12-03 18:37:02+00:00,8,vol-ffffffff,False,,,,
snap-010b6741a6cdb2490,Snapshot of volume (vol-0079992127f4e4a2f),2018-12-03 18:35:16+00:00,8,vol-0079992127f4e4a2f,True,,,,
